id;father_name;mother_name;married_to;name;last_name;date;certificate_type;city;province;country;blood_line
1;Pollo Mauritania Guapo;Administrador implement;circuit;Vietnam Interacciones 1080p;Bañuelos;2023-05-22;BIRTH;Jiménezside;solutions Sorprendente;Etiopía;FATHER
2;Bicicleta;Bricolaje killer;program synthesize;compressing;Rodarte;2023-05-22;BIRTH;Partidafort;Manzana Funcionalidad Dinar;Senegal;MOTHER
3;Gris Coche Acero;B2C;País Ergonómico;Planificador Salchichas IB;Santana;2023-05-21;BIRTH;El Puerto de Santa María Aliciaburgh;Avon Analista;Malasia;FATHER
4;Galicia;Pescado cross-platform Borders;Ingeniero Programa Pizza;Bangladesh iterate;Barela;2023-05-22;DEATH;Juan Carlosfurt;Morado;Niger;FATHER
5;withdrawal Queso;Pasaje;Inteligente Ejecutivo;Sudanese;Zavala;2023-05-22;MARRIED;Julioport;back-end;Reino Unido;MOTHER
6;Perseverando Amarillo;Directo Canarias;Navarra;synthesize connect;Figueroa;2023-05-21;BIRTH;San Buenaventura (Ventura);Madera Heredado Programa;Bután;FATHER
7;Pescado Director;card Dollar Eslovaquia;transmitting cultivate;transmitting Ergonómico red;Duarte;2023-05-22;BIRTH;Carrasquillotown;Bedfordshire Buckinghamshire;Croacia;FATHER
8;mobile Uruguayo Uruguay;XSS back Sorprendente;Rupiah up;Polarizado;Miramontes;2023-05-22;DEATH;Adrianaberg;Colegio auxiliary paradigms;Chipre;MOTHER
9;Sabroso;invoice;Fantástico basado;Producto portals Negro;Samaniego;2023-05-22;MARRIED;Ojedabury;modular;Islas Caimán;FATHER
10;FTP;Cuentas;program;vertical Pantalones;Estrada;2023-05-22;MARRIED;Mojicaport;Account index;Comodos;FATHER
